X,Y,OBJECTID,LGACode,StateCode,Prim_Name,Alt_Name,Functional,Type,Ownership,WardCode,GlobalID,lat,lon,icon_url
4.12542830328628,7.60109669855803,"1","31020",OY,Mdg Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU12,e949ffbf-10de-4cc4-a77d-29484b0bc324,7.600000000000000,4.130000000000000,./0.png
4.11608333638933,7.57500666542046,"2","31020",OY,Papa Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU12,c2b2efa3-932d-432e-a9c1-6be642d97be0,7.580000000000000,4.120000000000000,./0.png
4.06376333563472,7.57643999859825,"3","31020",OY,Fakeye Hospital,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU14,bd8dd92e-ca88-4ad5-b4bd-d8f3a48724fa,7.580000000000000,4.060000000000000,./0.png
4.07380833571127,7.60013833151839,"4","31020",OY,Olowode Primary Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU12,e9a25906-6177-4aa0-868d-35b18621fc99,7.600000000000000,4.070000000000001,./0.png
4.05712500344495,7.59583666552653,"11","31020",OY,Ogunremi Primary Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU13,2cb3e49d-9ca8-4663-a2b6-ac1889c2fbfe,7.600000000000000,4.060000000000000,./0.png
4.07718170259981,7.62020329815001,"13","31020",OY,Anarun Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU13,eed20910-3a9a-4ab5-bc63-3334ae31946f,7.620000000000000,4.080000000000000,./0.png
4.08888500304662,7.44634499857511,"17","31020",OY,Ayede Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU02,1ae88252-a05b-4b10-9c39-c709c6535cd8,7.450000000000000,4.090000000000000,./0.png
4.07170170258229,7.45025169850909,"18","31020",OY,Model Primary Health Care Alugbo Erunmu,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU02,04e3074d-4bc8-40ee-8e16-2ad9729c77e3,7.450000000000000,4.070000000000001,./0.png
4.00166333621979,7.43094999818366,"19","31020",OY,Olodo Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU05,73d3ec79-ded0-4476-9c93-4c37c407f163,7.430000000000000,4.000000000000000,./0.png
4.00317283478689,7.46001631874721,"31","31020",OY,Odan Elekan Health Facility,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU08,4bc64b95-1baa-4eca-be1b-4d2d02d5c085,7.460000000000000,4.000000000000000,./0.png
4.12773170265564,7.47514329868898,"33","31020",OY,Odo Oba Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU03,26e4f12c-1a4f-4e13-b4c1-1eb82fd6b2a4,7.480000000000000,4.130000000000000,./0.png
4.11272500256338,7.50761499840704,"34","31020",OY,Igbo Pry Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU06,21599177-b93e-4813-b357-ce15fd53cc03,7.510000000000000,4.110000000000001,./0.png
4.04827670333338,7.54724499853849,"35","31020",OY,Oyedeji Primary Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU09,19df8753-fbea-45e2-9064-f019d966d856,7.550000000000000,4.050000000000000,./0.png
4.06544720283954,7.4616197982701,"36","31020",OY,Lalupon Primary Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU02,5455230e-55eb-475e-8b41-5a63d2f72733,7.460000000000000,4.070000000000001,./0.png
4.02645833571028,7.49918833104019,"40","31020",OY,Abudoro General Hospital,,Functional,Secondary,National Primary Healthcare Development Agency,OYSLAU08,213d3819-b53f-4c1c-a477-53e08821d6ef,7.500000000000000,4.030000000000000,./1.png
4.08827333636028,7.5314616655025,"41","31020",OY,Iyanaore Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU10,c3e9efe4-f552-48b5-825a-f398ff365e18,7.530000000000000,4.090000000000000,./0.png
4.08189000333429,7.50016329866593,"48","31020",OY,Ejioku Widow and Aged Clinic,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU01,22076965-8154-4a7f-9e2f-8b98fe6f7b8b,7.500000000000000,4.080000000000000,./0.png
4.10287000315448,7.481508298134,"49","31020",OY,Akinsawe Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU06,d048bc3d-402b-44e1-965c-f77817842134,7.480000000000000,4.100000000000000,./0.png
3.98238000277093,7.48525499877445,"50","31020",OY,Olorunda Primary Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU07,8cd2400e-d746-4755-b958-99ab0e1d9f9e,7.490000000000000,3.980000000000000,./0.png
4.04608783530612,7.48764131835372,"56","31020",OY,Ajiwogbo Health Clinic,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU04,31dafe00-18bc-4983-911f-7727b3a7a673,7.490000000000000,4.050000000000000,./0.png
3.94918500262175,7.40504333141167,"57","31020",OY,Apete Health Center Academy Egbeda,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU05,c4c8dfc9-78f4-48a4-9dc5-4259934f0ceb,7.410000000000000,3.950000000000000,./0.png
3.95208690262735,7.44088269811662,"58","31020",OY,Alegongo Primary Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU07,534bafeb-48a2-4848-b258-27772457f03f,7.440000000000000,3.950000000000000,./0.png
3.97081800288174,7.42976059800989,"66","31020",OY,Akitlkosawe Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU05,0245db83-3389-43ef-93f9-01fa7d987290,7.430000000000000,3.970000000000000,./0.png
3.96901166958441,7.40883833105413,"67","31020",OY,Adogba Maternity Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU05,9e2a2b2a-e7bb-4f7e-bc2d-4d254703039b,7.410000000000000,3.970000000000000,./0.png
3.97967400298545,7.4447601988663,"68","31020",OY,Kute Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU05,4eed3b39-dbc3-48c9-90f1-c586cb545433,7.440000000000000,3.980000000000000,./0.png
3.96108920264019,7.4298524988297,"84","31020",OY,Abidi Odan Primary Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU05,39617de8-d6f4-41ce-bd16-4df39073ae2f,7.430000000000000,3.960000000000000,./0.png
3.97201850338236,7.41220449886982,"85","31020",OY,Ifesowapo Oloya Primary Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU05,db09c6b2-aaa5-4099-ae00-06e30fca06fa,7.410000000000000,3.970000000000000,./0.png
3.95088166988962,7.41402166539753,"90","31020",OY,Monatan Maternity Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU05,c3f88d36-93a6-4f76-a44a-341903a846da,7.410000000000000,3.950000000000000,./0.png
3.94568407499834,7.41945192299912,"109","31020",OY,Elewuodo Primary Health Center,,Functional,Primary,National Primary Healthcare Development Agency,OYSLAU05,53fa4d93-592d-4d0f-a183-4f304fd2ddd7,7.420000000000000,3.950000000000000,./0.png
10.255336001808,9.69475799922567,"113","5001",BA,Yuli Health Center,,Functional,Primary,National Primary Healthcare Development Agency,BA0119,a3b150dd-477e-479f-9a3a-66928a848dc6,9.690000000000000,10.260000000000000,./0.png
10.6826690014624,10.0167439999677,"138","5001",BA,Maiari Health Clinic,,Functional,Primary,National Primary Healthcare Development Agency,BA0105,a9aa9aa0-8558-431d-bdac-e4352c5c6b2b,10.020000000000000,10.680000000000000,./0.png
